join_date,last_purchase_date,age,gender,location,number_of_site_visits,number_of_emails_opened,number_of_clicks,transaction_id,transaction_amount,campaign_id,AvgOrderVal,customer_lifespan_days,Customerlifetime_Years,recency,frequency,monetary,r_rank,f_rank,m_rank,rfm_score,rfm_segment
2023-11-20,2024-03-17,56,1,North Shannonbury,10,15,1,6,3509,1.0,585,118,1,111,6,3509.4799999999996,5,1,2,512,Loyal Customers
2021-09-08,2023-10-25,25,0,Hillville,285,49,51,9,6081,2.0,676,777,3,491,9,6081.32,3,2,3,323,Others
2021-06-01,2022-11-27,25,0,North Latoyatown,192,73,25,6,1455,1.0,242,544,2,591,6,1454.8700000000001,2,1,1,211,Others
2022-01-01,2022-09-01,29,0,Grossstad,110,30,17,20,7875,1.0,394,243,1,670,20,7874.68,2,4,3,243,Others
2022-01-24,2023-06-02,25,0,East Matthewfort,161,2,7,24,15525,,647,494,2,396,24,15524.55,3,5,5,355,Frequent Customers
2022-01-01,2023-02-10,55,1,North Richardfort,74,59,7,17,10254,1.0,603,405,2,568,17,10254.44,2,4,4,244,Others
2023-12-11,2024-05-29,25,1,Perezside,64,4,6,5,1340,1.0,268,170,1,44,5,1339.82,5,1,1,511,Loyal Customers
2023-02-09,2023-08-09,68,0,Marquezton,60,22,7,15,11711,2.0,781,181,1,336,15,11710.619999999999,3,3,4,334,Others
2022-01-24,2023-08-15,68,1,West Franciscobury,49,43,21,22,10383,1.0,472,568,2,337,22,10382.96,3,5,4,354,Frequent Customers
2021-08-28,2023-01-08,49,0,Lake Natasha,188,46,24,2,745,1.0,373,498,2,558,2,745.2800000000001,2,1,1,211,Others
2022-10-24,2023-01-09,60,0,West Danielmouth,33,3,1,12,7416,1.0,618,77,1,541,12,7415.91,2,3,3,233,Others
2021-05-08,2024-04-01,23,0,Shannonland,364,166,13,12,9245,1.0,770,1059,3,181,12,9244.97,4,3,4,434,Others
2020-04-12,2022-05-24,34,1,Brendahaven,367,32,38,6,3321,1.0,554,772,3,782,6,3321.23,2,1,2,212,Others
2021-08-15,2021-12-06,23,1,East Diana,21,7,7,20,13271,2.0,664,113,1,939,20,13270.87,1,4,5,145,Big Spenders
